q	Intensity
[nm-1]	[a.u.]
2.75002	4.42892e-006
2.7574	4.553e-006
2.76478	4.66567e-006
2.7648	4.66617e-006
2.77217	4.31734e-006
2.7722	4.31789e-006
2.7795	4.39396e-006
2.77955	4.39643e-006
2.7869	4.1745e-006
2.78693	4.17489e-006
2.7943	5.14587e-006
2.79431	5.14714e-006
2.80169	5.74986e-006
2.8017	5.75023e-006
2.80907	5.63781e-006
2.8091	5.6353e-006
2.8164	4.81694e-006
2.81645	4.8068e-006
2.8238	3.87575e-006
2.82383	3.87417e-006
2.8312	4.42109e-006
2.83121	4.42221e-006
2.83859	4.52145e-006
2.8386	4.52151e-006
2.84597	5.34285e-006
2.846	5.34596e-006
2.85335	6.03215e-006
2.8534	6.03958e-006
2.8607	5.72305e-006
2.86073	5.72129e-006
2.8681	4.62525e-006
2.86811	4.62548e-006
2.87549	4.70385e-006
2.8755	4.70515e-006
2.88287	5.77873e-006
2.8829	5.78258e-006
2.8902	6.07381e-006
2.89025	6.07546e-006
2.8976	6.05881e-006
2.89763	6.05755e-006
2.905	5.08062e-006
2.90501	5.08012e-006
2.91239	4.67322e-006
2.9124	4.67386e-006
2.91977	4.89633e-006
2.9198	4.89978e-006
2.9271	4.91652e-006
2.92714	4.92151e-006
2.9345	4.94835e-006
2.93452	4.94809e-006
2.9419	5.01467e-006
2.94928	6.08945e-006
2.9493	6.09124e-006
2.95666	5.50134e-006
2.9567	5.50221e-006
2.964	5.04179e-006
2.96404	5.04268e-006
2.9714	4.97203e-006
2.97142	4.97113e-006
2.97879	4.37827e-006
2.9788	4.37812e-006
2.98617	4.59513e-006
2.9862	4.59577e-006
2.99355	4.46473e-006
2.9936	4.46441e-006
3.0009	4.30056e-006
3.00093	4.30382e-006
3.0083	4.27365e-006
3.00831	4.27176e-006
3.01568	3.63482e-006
3.0157	3.63211e-006
3.02306	2.94794e-006
3.0231	2.94445e-006
3.0304	3.57288e-006
3.03044	3.57459e-006
3.0378	4.58854e-006
3.03782	4.58953e-006
3.04519	4.65174e-006
3.0452	4.65155e-006
3.05257	4.30374e-006
3.0526	4.30314e-006
3.0599	4.03821e-006
3.05995	4.04006e-006
3.0673	4.08047e-006
3.06733	4.0831e-006
3.0747	4.88133e-006
3.08208	5.35201e-006
3.0821	5.35306e-006
3.08946	5.32096e-006
3.0895	5.32203e-006
3.0968	4.79881e-006
3.09683	4.79796e-006
3.1042	4.77224e-006
3.10421	4.77263e-006
3.11159	4.89737e-006
3.1116	4.89732e-006
3.11896	5.57558e-006
3.119	5.57846e-006
3.1263	6.07721e-006
3.12634	6.07299e-006
3.1337	5.64383e-006
3.13372	5.64623e-006
3.14109	6.49305e-006
3.1411	6.49404e-006
3.14847	7.55014e-006
3.1485	7.55404e-006
3.1558	8.50973e-006
3.15584	8.51347e-006
3.1632	9.65696e-006
3.16322	9.65756e-006
3.1706	1.01293e-005
3.17797	1.04712e-005
3.178	1.04727e-005
3.1853	1.01013e-005
3.18535	1.00955e-005
3.1927	9.83303e-006
3.19272	9.83153e-006
3.2001	9.35167e-006
3.20747	8.32151e-006
3.2075	8.32011e-006
3.2148	7.92348e-006
3.21485	7.92453e-006
3.2222	8.21256e-006
3.22222	8.21378e-006
3.2296	8.23033e-006
3.23697	7.83864e-006
3.237	7.83875e-006
3.2443	7.90964e-006
3.24435	7.91032e-006
3.2517	8.44886e-006
3.25172	8.45119e-006
3.25909	8.6969e-006
3.2591	8.69717e-006
3.26647	9.19914e-006
3.2665	9.19961e-006
3.2738	9.09574e-006
3.27384	9.09215e-006
3.2812	8.82164e-006
3.28122	8.82111e-006
3.28859	8.67178e-006
3.2886	8.67127e-006
3.29596	8.12472e-006
3.296	8.12235e-006
3.3033	9.27998e-006
3.30334	9.27989e-006
3.3107	9.3215e-006
3.31071	9.31997e-006
3.31809	8.09937e-006
3.3181	8.09818e-006
3.32546	8.31254e-006
3.3255	8.31207e-006
3.3328	8.31636e-006
3.33283	8.31712e-006
3.3402	8.53918e-006
3.34021	8.54001e-006
3.34758	9.13732e-006
3.3476	9.13905e-006
3.35495	8.96681e-006
3.355	8.96344e-006
3.3623	9.02116e-006
3.36232	9.02183e-006
3.3697	9.81533e-006
3.37707	1.04681e-005
3.3771	1.04688e-005
3.3844	1.03482e-005
3.38444	1.03484e-005
3.3918	1.0191e-005
3.39181	1.0191e-005
3.39919	1.04006e-005
3.3992	1.04017e-005
3.40656	1.07501e-005
3.4066	1.07515e-005
3.4139	1.10321e-005
3.41393	1.10357e-005
3.4213	1.1537e-005
3.42868	1.19319e-005
3.4287	1.19314e-005
3.436	1.18455e-005
3.43605	1.18445e-005
3.4434	1.21185e-005
3.44342	1.2119e-005
3.45079	1.16983e-005
3.4508	1.16985e-005
3.45816	1.12298e-005
3.4582	1.12313e-005
3.4655	1.08389e-005
3.46553	1.08417e-005
3.4729	1.04437e-005
3.48027	1.09402e-005
3.4803	1.09445e-005
3.4876	1.09602e-005
3.48765	1.09579e-005
3.495	1.04395e-005
3.49502	1.04396e-005
3.50239	1.07602e-005
3.5024	1.07604e-005
3.50976	1.02342e-005
3.5098	1.02303e-005
3.5171	1.03192e-005
3.51713	1.03205e-005
3.5245	1.05753e-005
3.53187	1.05768e-005
3.5319	1.05788e-005
3.5392	1.02837e-005
3.53924	1.0283e-005
3.5466	9.73333e-006
3.54661	9.73289e-006
3.55398	9.73689e-006
3.554	9.73753e-006
3.5613	8.91218e-006
3.56135	8.91378e-006
3.5687	9.25319e-006
3.56872	9.25374e-006
3.57609	8.66263e-006
3.5761	8.66256e-006
3.58346	8.03067e-006
3.5835	8.03054e-006
3.5908	8.97618e-006
3.59083	8.97969e-006
3.5982	9.153e-006
3.60556	9.1465e-006
3.6056	9.14305e-006
3.6129	8.64138e-006
3.61293	8.64063e-006
3.6203	8.83e-006
3.62767	9.55427e-006
3.6277	9.55396e-006
3.635	8.79994e-006
3.63504	8.79507e-006
3.6424	8.29503e-006
3.64241	8.29631e-006
3.64978	8.82805e-006
3.6498	8.82911e-006
3.6571	8.91412e-006
3.65714	8.91384e-006
3.6645	9.65703e-006
3.66451	9.65781e-006
3.67188	1.02051e-005
3.6719	1.02047e-005
3.6792	9.98097e-006
3.67925	9.98014e-006
3.6866	1.01848e-005
3.68662	1.01848e-005
3.69398	1.05075e-005
3.694	1.05075e-005
3.70135	1.0498e-005
3.7014	1.04984e-005
3.7087	1.04767e-005
3.70872	1.04777e-005
3.71609	1.07263e-005
3.7161	1.0727e-005
3.72345	1.10719e-005
3.7235	1.10736e-005
3.7308	1.04068e-005
3.73082	1.04084e-005
3.73819	1.05861e-005
3.7382	1.05859e-005
3.74555	1.01805e-005
3.7456	1.01821e-005
3.7529	9.86505e-006
3.75292	9.86502e-006
3.76029	9.97716e-006
3.7603	9.97731e-006
3.76765	1.021e-005
3.7677	1.02111e-005
3.775	9.97489e-006
3.77502	9.97594e-006
3.78239	1.0122e-005
3.7824	1.01229e-005
3.78975	1.06993e-005
3.7898	1.07041e-005
3.7971	1.12262e-005
3.79712	1.12275e-005
3.80448	1.14235e-005
3.8045	1.14234e-005
3.8118	1.12699e-005
3.81185	1.12681e-005
3.8192	1.06302e-005
3.81921	1.06297e-005
3.82658	1.04153e-005
3.8266	1.04155e-005
3.8339	1.08226e-005
3.83394	1.08213e-005
3.8413	1.07041e-005
3.84131	1.07045e-005
3.84867	1.08264e-005
3.8487	1.08265e-005
3.856	1.0275e-005
3.85604	1.0273e-005
3.8634	1.01507e-005
3.87077	1.03514e-005
3.8708	1.03543e-005
3.8781	1.04664e-005
3.87813	1.04691e-005
3.8855	1.09563e-005
3.89286	1.07027e-005
3.8929	1.06992e-005
3.9002	1.01357e-005
3.90023	1.01352e-005
3.90759	1.00948e-005
3.9076	1.00952e-005
3.91495	9.4668e-006
3.915	9.46485e-006
3.9223	1.03496e-005
3.92232	1.03512e-005
3.92968	1.05948e-005
3.9297	1.05936e-005
3.937	1.02136e-005
3.93704	1.02085e-005
3.9444	9.76272e-006
3.94441	9.76276e-006
3.95177	9.84204e-006
3.9518	9.84356e-006
3.9591	1.01731e-005
3.95913	1.01745e-005
3.9665	1.04413e-005
3.97386	1.09539e-005
3.9739	1.09554e-005
3.9812	1.08719e-005
3.98122	1.08709e-005
3.98858	1.04298e-005
3.9886	1.0429e-005
3.9959	1.04996e-005
3.99595	1.04997e-005
4.0033	1.10446e-005
4.00331	1.1046e-005
4.01067	1.11092e-005
