 17-Feb-2013       (cy_0036.dat - 1.0*Aver(cy_0035.dat,cy_0037.dat) /  2.6100 
 cy_0036.dat  Conc = .26E+01  N1 =    1  N2 = 1639
 cy_0035.dat  Conc = 0.0d+0   N1 =    1  N2 = 1639
 cy_0037.dat  Conc = 0.0d+0   N1 =    1  N2 = 1639
  0.792121E+00  0.486707E+03  0.884991E+01
  0.794773E+00  0.482153E+03  0.871521E+01
  0.797425E+00  0.483944E+03  0.874072E+01
  0.800078E+00  0.483239E+03  0.907332E+01
  0.802730E+00  0.473002E+03  0.904677E+01
  0.805382E+00  0.481927E+03  0.913702E+01
  0.808034E+00  0.481538E+03  0.906005E+01
  0.810686E+00  0.474554E+03  0.897688E+01
  0.813338E+00  0.477527E+03  0.927003E+01
  0.815991E+00  0.481529E+03  0.917117E+01
  0.818643E+00  0.471203E+03  0.893669E+01
  0.821295E+00  0.460552E+03  0.899967E+01
  0.823947E+00  0.456730E+03  0.887875E+01
  0.826599E+00  0.467278E+03  0.894835E+01
  0.829252E+00  0.452665E+03  0.863392E+01
  0.831904E+00  0.467678E+03  0.882873E+01
  0.834556E+00  0.453981E+03  0.868715E+01
  0.837208E+00  0.451125E+03  0.875973E+01
  0.839860E+00  0.449393E+03  0.868356E+01
  0.842512E+00  0.455402E+03  0.854700E+01
  0.845165E+00  0.457427E+03  0.864404E+01
  0.847817E+00  0.453412E+03  0.859591E+01
  0.850469E+00  0.447678E+03  0.860101E+01
  0.853121E+00  0.449659E+03  0.850436E+01
  0.855773E+00  0.433284E+03  0.853995E+01
  0.858426E+00  0.447615E+03  0.861995E+01
  0.861078E+00  0.427904E+03  0.843519E+01
  0.863730E+00  0.441239E+03  0.840522E+01
  0.866382E+00  0.441967E+03  0.847857E+01
  0.869034E+00  0.437360E+03  0.844174E+01
  0.871686E+00  0.432954E+03  0.849013E+01
  0.874339E+00  0.429236E+03  0.837759E+01
  0.876991E+00  0.421768E+03  0.833354E+01
  0.879643E+00  0.436703E+03  0.844605E+01
  0.882295E+00  0.429481E+03  0.843137E+01
  0.884947E+00  0.433680E+03  0.836720E+01
  0.887599E+00  0.432753E+03  0.839591E+01
  0.890252E+00  0.417377E+03  0.832611E+01
  0.892904E+00  0.430345E+03  0.811890E+01
  0.895556E+00  0.420967E+03  0.827913E+01
  0.898208E+00  0.421755E+03  0.821570E+01
  0.900860E+00  0.409098E+03  0.820103E+01
  0.903513E+00  0.420312E+03  0.826361E+01
  0.906165E+00  0.406247E+03  0.806038E+01
  0.908817E+00  0.423013E+03  0.812659E+01
  0.911469E+00  0.436333E+03  0.818347E+01
  0.914121E+00  0.415314E+03  0.819675E+01
  0.916773E+00  0.400805E+03  0.815922E+01
  0.919426E+00  0.414548E+03  0.800571E+01
  0.922078E+00  0.406330E+03  0.818642E+01
  0.924730E+00  0.409259E+03  0.802568E+01
  0.927382E+00  0.411188E+03  0.812816E+01
  0.930034E+00  0.398013E+03  0.805753E+01
  0.932687E+00  0.388339E+03  0.800419E+01
  0.935339E+00  0.403703E+03  0.804619E+01
  0.937991E+00  0.396946E+03  0.803459E+01
  0.940643E+00  0.399672E+03  0.797046E+01
  0.943295E+00  0.400456E+03  0.799671E+01
  0.945947E+00  0.388939E+03  0.793099E+01
  0.948600E+00  0.394745E+03  0.803841E+01
  0.951252E+00  0.390632E+03  0.793359E+01
  0.953904E+00  0.389466E+03  0.797433E+01
  0.956556E+00  0.372921E+03  0.785847E+01
  0.959208E+00  0.383682E+03  0.790959E+01
  0.961861E+00  0.385431E+03  0.796128E+01
  0.964513E+00  0.361199E+03  0.776829E+01
  0.967165E+00  0.383222E+03  0.791830E+01
  0.969817E+00  0.385333E+03  0.793362E+01
  0.972469E+00  0.378634E+03  0.785837E+01
  0.975121E+00  0.376370E+03  0.776653E+01
  0.977774E+00  0.389483E+03  0.787642E+01
  0.980426E+00  0.375851E+03  0.780237E+01
  0.983078E+00  0.361284E+03  0.784091E+01
  0.985730E+00  0.378912E+03  0.778242E+01
  0.988382E+00  0.361521E+03  0.770048E+01
  0.991035E+00  0.350753E+03  0.777634E+01
  0.993687E+00  0.353866E+03  0.777921E+01
  0.996339E+00  0.361519E+03  0.774595E+01
  0.998991E+00  0.363646E+03  0.769742E+01
  0.100164E+01  0.357410E+03  0.763287E+01
  0.100430E+01  0.355044E+03  0.775486E+01
  0.100695E+01  0.349167E+03  0.765944E+01
